Obsolète;Code terrain;Toponyme;Type;Date creation;Dernière modification;Date validation;Position;Latitude;Longitude;Altitude;Consignes;Nombre de pistes;Nature première piste;Axe préférentiel première piste;Largeur première piste;Longueur première piste;Orientation première piste;Nature deuxième piste;Axe préférentiel deuxième piste;Largeur deuxième piste;Longueur deuxième piste;Orientation deuxième piste;Radio;Carburant;Facilités;Facilités en clair;Email de contact;Téléphone;Informations complémentaires;Gestionnaire terrain
;LF0151;Corbonod Seyssel;Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ;06/09/2011;18/09/2025;10/03/2026;45.961435,5.817990;N 45 57 41;E 005 49 05;1175 ft;"Suivre Imperativement le Plan de Tours de Piste


Arrivée dans axe de la piste puis du centre vent arrière main gauche pour Piste 01 ou 19


Attention - Zone Biotope Natura 2000 au sud coté Rhône 


Aerodrome Interdit aux Ecoles et Voilures Tournantes";1;dur;'01;15;400;'01-19;;;;;;123.500;;4,6;Gîte à proximité, Restauration &agrave proximité;president@aac-lf0151.org;+33 6 75 84 85 56;"PPR Obligatoire pour TOUS (arrêté préfectoral) 24h preavis :


ENVOYER à president@aac-lf0151.org : Nom, Prénom, Mobile, Type ULM, Base, Immatriculation, Indicatif Radio et Date Atterrissage Souhaitée 





Radio conseillée + qualif montagne pour avion


Sensible aux bruits,  EHPAD à 600m sous axes


Soyez attentifs (VOIR et ÉVITER) Terrain utilisable par pilotes en situation de handicap.


Piste légèrement convexe";Association Aeronautique de Corbonod
;LF0152;Crottet Le Bief;Base ULM Autorisation OBLIGATOIRE ;02/12/2011;03/05/2024;04/05/2024;46.28512660120123,4.886040687561035;N 46 17 06;E 004 53 10;597 ft;"Atterrissage en 19


Décollage en 01 préférentiel 





TDP à l'Est, intégration vent arrière 19 préférentiel par le travers du seuil 01 afin d'éviter le survol des habitations au Sud. Merci de respecter le plan d'intégration dans les vues ci jointes.";1;dur;'19;5;190;'01-19;herbe;;;;'Inconnue;125.335;;0;invalid;club.ulm.crottet@gmail.com;+33 6 52 38 01 88;"Tél. Club: mobile : 06.52.38.01.88





Veillez prendre connaissance du circuit d’intégration à l’Est des installations, publié dans les photos afin de respecter le survol des zones en rouge.


ATTENTION En période hivernale, ne pas se poser en dehors de la piste en enrobé car le sol est très humide, entrainant un fort risque d'enlisement.";
;LF0153;Izenave;Base ULM Accès privé;08/03/2011;18/02/2017;18/12/2025;46.027364325662,5.524019645507792;N 46 01 39;E 005 31 26;2280 ft;"Piste située en contrebas à l'est de l'altisurface de CORLIER qui est à survoler après auto-information en 130.00. 





Il est préférable d'appeler avant Pierre PELISSON pour consignes. 





Accueil chaleureux garanti.";1;herbe;;20;300;'16-34;herbe;;;;'Inconnue;123.065;;;;;+33 4 74 76 30 63;AD - LFJD Corlier à proximité;Pierre PELISSON
;LF0154;Polliat;Base ULM Autorisation OBLIGATOIRE ;08/03/2011;23/09/2019;14/04/2023;46.25600875411212,5.149422749243171;N 46 15 22;E 005 08 58;718 ft;;1;herbe;'16;20;400;'16-34;herbe;;;;'Inconnue;125.335;;0;invalid;alaintmd@yahoo.fr;+33 6 11 32 68 47;La base est ouverte, merci de prévenir de votre passage.;Alain Benonnier
;LF0155;Ailes De Sergy ;Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ;08/03/2011;17/07/2020;14/04/2023;46.25961075270392,6.023660774035657;N 46 15 35;E 006 01 25;1509 ft;Terrain privé, a utiliser uniquement en cas d'urgence (panne) ou avec autorisation à obtenir via ads@sergy.fr / 06 60 91 73 29;1;herbe;;30;420;'02-20;herbe;;;;'Inconnue;125.335;;6;Restauration &agrave proximité;ads@sergy.fr;+41 78 619 32 99;;Ailes De Sergy
oui;LF0156;Viocet;Base ULM fermée définitivement;08/03/2011;22/06/2021;22/08/2025;46.213056,5.164167;N 46 12 47;E 005 09 51;705 ft;Cette plate forme n'est plus en service. Etant sur la trancliere elle est d'habitude tenue par mpiroux. je survol régulierement cette region et je vous confirme ce écrit plus haut.;2;herbe;;0;0;'Inconnue;herbe;;0;0;'Inconnue;;;0;invalid;;;;
;LF0157;Mionnay;Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ;28/10/2011;09/03/2025;11/03/2025;45.90046192366156,4.896061420440674;N 45 54 02;E 004 53 46;987 ft;"TDP Ouest (Coté autoroute) 1300 ft 


ATTENTION CONTACT PREALABLE ET AUTORISATION ECRITE OBLIGATOIRE


terrain court


Fortes turbulences possibles en courte finale 19";1;herbe;'01;40;230;'01-19;herbe;;;;'Inconnue;125.335;non;0;invalid;benjamin.rey@univ-lyon1.fr;+33 6 95 59 39 60;"Plateforme difficile


CONTACT PREALABLE ET AUTORISATION ECRITE OBLIGATOIRE";MICROPLANE
;LF0158;Rhône Lavours;HydroSurface privée. Autorisation OBLIGATOIRE ;26/12/2011;04/08/2021;05/08/2021;45.81087630653,5.781319903369194;N 45 48 39;E 005 46 53;767 ft;"Surveiller trafic fluvial et plaisance.


Lignes haute tension au-dessus du barrage. Le survol à basse altitude de la réserve naturelle du Marais de Lavours et de l'ile Malourdie à proximité de la plate forme est interdit.";1;eau;;;;'omnidir;herbe;;;;'Inconnue;123.500;;3;Restauration sur place;Carton_r@hotmail.com;+33 4 79 42 11 57;"Ponton du restaurant disponible


ULM Hydro J300 Lavours.





L'hydrosurface est réservée aux ULMHydro.";
;LF0159;Montrevel en Bresse;HydroSurface Libre Ouvert aux ULM Autorisation OBLIGATOIRE ;11/04/2012;29/03/2016;06/05/2021;46.344989833094,5.142219161987327;N 46 20 42;E 005 08 32;620 ft;;1;eau;;;1000;'omnidir;herbe;;;;'Inconnue;123.500;;3;Restauration sur place;;+33 4 74 42 72 88;;Gémilis Aéro
;LF0160;Tallissieu;Aérodrome Privé Ouvert aux ULM;14/12/2013;28/08/2017;06/08/2025;45.871696857606,5.726961498355877;N 45 52 18;E 005 43 37;1433 ft;main gauche à 300 ft;1;herbe;'34;10;150;'16-34;herbe;;;;'Inconnue;;;0;invalid;;+33 6 69 19 20 64;"Aérodrome privé de type altisurface.





Aérologie difficile, même quand c'est calme ! plateforme supérieure étroite, bon état de surface mais devers à gauche dans le sens atterrissage, éviter le survol des riverains.";
;LF0161;Chaneins;Base ULM Accès privé;25/05/2018;19/01/2023;14/04/2023;46.10626702580967,4.851010575506507;N 46 06 23;E 004 51 04;800 ft;"TDP A L'OUEST 19 main droite, 01 main gauche


.CONTACT PREALABLE OBLIGATOIRE


NE PAS SURVOLER LA MAISON 300M AU NORD


Attention, sortie de 19 en 'entonnoir' entre des arbres, également 'entonnoir' en finale 01.





";1;herbe;;20;300;'01-19;herbe;;;;'Inconnue;125.335;Non;6,4,5;Restauration &agrave proximité, Gîte à proximité, Camping possible;daniel01140@yahoo.fr;+33 6 74 45 52 28;Attention quand la piste est détrempée, risque de création d'ornières.;
;LF0162;Gite de l'aviateur;Base ULM Accès privé;26/06/2019;07/01/2023;14/04/2023;46.401279333494706,5.045920082122848;N 46 24 05;E 005 02 45;673 ft;"Eviter survol Saint jean et zones entourées d'un cercle rouge. Tour de piste à l'ouest à 800 ft/sol.  QFU 19 préferentiel . 


ATTENTION ligne haute tension  à 100 m du seuil en 01, à 7 m sol.


Approche ULM impérative, Pas de plan avion a 5% !


";1;herbe;'19;30;450;'01-19;herbe;;;;'Inconnue;125.335;sur demande;6,2,5,1;Restauration &agrave proximité, Hangar possible, Camping possible, Atelier ULM;airfunaero@gmail.com;+33 6 07 54 37 33;"La base propose un gite (capacité de 8 couchages) .Possibilité de se faire livrer sur place les courses nécessaires à vos repas par la supérette du village.


Carburant :à prix coutant + 5€ par jerry-can de 20 litres. (Prévenir avant si possible)


Attention: treuillage parapente , largage parachutiste et voltige dans l'axe de piste sont possibles y compris le vol de modèles réduits. 


Tel ou SMS impératif avant votre venue par sécurité, merci.";Stéphane
;LF0163;Malafretaz;Base ULM Accès privé;17/09/2019;26/12/2021;14/04/2023;46.33392533431736,5.14097465332179;N 46 20 02;E 005 08 28;640 ft;"cause environnement


LDG préférentiel en 27 - Vente arrière Main Droite au dessus de la RD


base rapprochée en 09 Main Gauche pour éviter habitations à l'OUEST.et au SUD


préférentiel TKOF en 09 - Prendre CAP 080° pour éviter survol habitations";1;herbe;'09;30;400;'09-27;herbe;;;;'Inconnue;125.335;sp95/98;3,6,2,4,5,1;Restauration sur place, Restauration &agrave proximité, Hangar possible, Gîte à proximité, Camping possible, Atelier ULM;contact@aero01.fr;+33 6 47 27 42 66;"Maintenance Avion et Autogire





verticale 1000fts QFE min


contact radio 123.5 fortement recommandé";AERO 01
;LF0164;Chamonet;Aérodrome Privé Ouvert aux ULM;09/06/2022;10/06/2022;03/11/2025;45.797716,5.624752;N 45 47 52;E 005 37 29;1250 ft;"Tour de piste à l’ouest le long de la montagne à 2000 pieds, éviter le survol du village et de l’écurie du côté nord.


17 préférentiel";1;herbe;'17;20;600;'17-35;;;;;;123.500;Non;0;invalid;hyppolithe.juen@yahoo.fr;+33 6 22 27 18 16;;
;LF0221;Azur Ulm;Base ULM Accès privé;26/07/2011;15/12/2018;14/04/2023;49.461067531545,3.8483798503875732;N 49 27 40;E 003 50 54;240 ft;"Piste 'technique' pour les débutants. En montée vers le Nord.


Aérologie parfois 'déconcertante' sur les 2 finales.





Tour de piste à 700 ft QNH à l'Est des installations (voir photo).





Merci de ne pas survoler la commune de CORBENY.";1;herbe;;20;235;'18-36;herbe;;;;'Inconnue;125.335;Non;6,2,4,5;Restauration &agrave proximité, Hangar possible, Gîte à proximité, Camping possible;;+33 6 06 94 93 90;"L'Association Sportive AZUR ULM est une école de formation ULM classes 2, 3 et 4.


Nous proposons aussi la location de machines.";A. S.  AZUR ULM
;LF0223;Mosloy;Aérodrome privé. Pas de visiteurs.;27/04/2011;21/02/2024;23/02/2024;49.1745369745325,3.154456707636668;N 49 10 28;E 003 09 16;453 ft;Tél. au gestionnaire pour connaitre état piste avant poser, sauf urgence ou force majeure/Pour QFU 11 se décaler 25 m au-delà seuil de piste, bien conserver l'axe/Ne pas hésiter à faire une verticale pour observer état/Eviter survol Mosloy tour de piste.;1;herbe;'29;50;350;'11-29;herbe;;;;'Inconnue;123.500;Non;0;invalid;ofjpeca@gmail.com;;;Olivier FERTE
;LF0225;Ployart;Base ULM Accès privé;23/10/2011;22/12/2015;14/04/2023;49.503888888889,3.7380555555555475;N 49 30 14;E 003 44 17;580 ft;;1;herbe;;40;450;'05-23;herbe;;;;'Inconnue;125.335;;0;invalid;;;;
;LF0226;Brochot;Aérodrome Privé Ouvert aux ULM;08/03/2011;12/04/2025;14/04/2025;48.976617705649,3.373195474868794;N 48 58 36;E 003 22 24;574 ft;"Tour de piste au Nord


Eviter le survol du Village";1;herbe;;30;300;'07-25;herbe;;;;'Inconnue;123.500;Sur demande;2,4,5;Hangar possible, Gîte à proximité, Camping possible;champagne.petit@orange.fr;+33 6 82 67 94 90;"Téléphoner avant visite 


ULM bienvenus";Odile PETIT
oui;LF0251;Besny-Loizy;Base ULM fermée définitivement;08/03/2011;16/12/2013;17/12/2013;49.586389,3.575833;N 49 35 11;E 003 34 33;262 ft;ATTENTION. PLATEFORME REMISE EN CULTURE QUI N'EXISTE PLUS. ;1;herbe;;;340;'13-31;herbe;;;;'Inconnue;;;;;;;;
;LF0253;Neuflieux;Base ULM Autorisation OBLIGATOIRE ;23/10/2011;22/12/2015;14/04/2023;49.6110714430628,3.1485486030578613;N 49 36 40;E 003 08 55;195 ft;;2;herbe;;20;200;'17-35;herbe;;20;200;'06-24;125.335;;0;invalid;ulm@chauny.com;+33 6 75 64 54 02;;
oui;LF0255;Thiérache - Vigneux;Base ULM fermée définitivement;23/10/2011;23/10/2011;12/12/2013;49.728529529831,4.008035659790039;N 49 43 43;E 004 00 29;600 ft;"Circuit au sud à 500ft QFE de préférence la 26 qui est en légère montée.


TERRAIN FERME";1;herbe;;0;600;'08-26;;;;;;auto-info 123.5;;;;;+33 6 60 12 43 54;TERRAIN FERME.;
;LF0256;Corbeny ;Base ULM Autorisation OBLIGATOIRE ;08/03/2011;22/12/2015;14/04/2023;49.45763852316789,3.8545103227538675;N 49 27 27;E 003 51 16;230 ft;Strict PPR : plateforme privée. Il s'agit d'un terrain privatif, avec un accès strictement réservé (donc accès réservé aux personnes autorisées par le propriétaire).;1;herbe;;;400;'18-36;herbe;;;;'Inconnue;125.335;;;;;;Ne pas confondre avec azur ulm à 500 m au Nord Ouest;
;LF0257;Taillefontaine;Base ULM Autorisation OBLIGATOIRE ;23/10/2011;04/02/2023;14/04/2023;49.30868398170359,3.066824851867631;N 49 18 31;E 003 04 01;475 ft;;1;herbe;;25;600;'03-21;herbe;;;;'Inconnue;125.335;;0;invalid;;+33 3 23 96 00 11;;Mr Proffit
;LF0258;La Flamengrie;Base ULM Accès privé;05/07/2011;09/05/2018;14/04/2023;50.000250186864,3.944821357727051;N 50 00 01;E 003 56 41;642 ft;"en 01 : arbres et haie


en 19 : route et haie";1;herbe;'01;40;300;'01-19;herbe;;;;'Inconnue;125.335;;0;invalid;;+33 7 68 46 72 21;Téléphoner avant de venir. Très accueillant.;Lamendin Philippe
;LF0259;Base Ulm du Val de l'Ailette;Base ULM Accès privé;03/03/2014;30/03/2019;14/04/2023;49.56805674859959,3.225278297265504;N 49 34 05;E 003 13 31;180 ft;"Tour de Piste à 500 ft QFE côté hangar à l'Est.


Verticale à 1.000 ft QFE.


ATTENTION : seuil de piste 01 décalé à 105 m de la route.





Roulage sur la bande Taxyway côté Est / hangar";1;herbe;;20;250;'01-19;herbe;;;;'Inconnue;125.335;;0;invalid;;+33 6 69 35 07 22;Pour un premier contact, merci de procéder par SMS au 06.69.35.07.22 / Bruno;
;LF0260;Le gros saule;Base Paramoteurs Privée Ouverte aux ULM sur autorisation;03/04/2025;03/04/2025;05/04/2025;49.883778190207934,4.213515624267585;N 49 53 02;E 004 12 49;735 ft;;1;herbe;;40;60;'06-24;herbe;;;;'Inconnue;;;4;Gîte à proximité;association.sp.ulm@gmail.com;+33 6 82 35 96 77;;SP-ULM
;LF0324;Veauce;Base ULM Autorisation OBLIGATOIRE ;23/10/2011;28/08/2019;14/04/2023;46.173333333333,3.0588888888888732;N 46 10 24;E 003 03 32;1570 ft;Plateforme privée. ;1;herbe;;30;300;'12-30;herbe;;;;'Inconnue;125.335;Eventuellement;0;invalid;nicole_lagoutte@orange.fr;+33 6 81 91 79 07;"Piste 12 - 30


Atterrissage en 30 impératif 


Décollage en 12 impératif


Cette piste est réservée  UNIQUEMENT aux ULM. Elle est FORMELLEMENT  INTERDITE aux AVIONS.


En aucun cas ma responsabilité ne pourra être engagée.


ATTENTION des barres rouge et blanc signalent un grillage en entrée de piste 30. hauteur de ce grillage 1 m 20     ";lagoutte Nicole
oui;LF0352;Deneuille les Chanteille;Base ULM fermée définitivement;08/03/2011;16/06/2012;17/12/2013;46.25046204786897,3.145910232788083;N 46 15 02;E 003 08 45;1105 ft;Plateforme privée occasionnelle, PPR à Mr Berton Alain, phone: 04 70 56 61 90.;1;herbe;;;;'18-36;herbe;;;;'Inconnue;;;;;;+33 4 70 56 61 90;;
oui;LF0353;Saint Fargeol Les Fougères;Base ULM fermée définitivement;23/10/2011;29/03/2024;15/12/2024;46.141666666667,2.6113888888888823;N 46 08 30;E 002 36 41;1640 ft;FERMEE DEFINITIVEMENT.;1;herbe;;50;280;'01-19;herbe;;;;'Inconnue;125.335;NON;0;invalid;jm.ducros@wanado.fr;+33 106 20 35 05 24;"Base fermée définitivement


Possible terrain de secour





Zone de vol basse altitude R-143.";DUCROS jean marie
;LF0354;Verneuil en Bourbonnais;Base ULM Autorisation OBLIGATOIRE ;23/10/2011;24/12/2015;14/04/2023;46.359903509900356,3.268334505293069;N 46 21 36;E 003 16 06;885 ft;;1;herbe;;20;250;'02-20;herbe;;;;'Inconnue;125.335;;0;invalid;;+33 4 70 45 36 16;site : à 800m au nord du carrefour D34/D18, en bordure est de la D18.;
;LF0355;Banelle;Base ULM Accès privé;08/03/2011;05/12/2019;14/04/2023;46.125213945438745,3.2869030343932764;N 46 07 31;E 003 17 13;1165 ft;Seuil décalé de 50m cote nord car route proximité entrée de piste. Circuit de piste recommandé à l'est .;1;herbe;;20;300;'01-19;herbe;;;;'Inconnue;125.335;non;0;invalid;printemps0303@aol.com;+33 6 10 20 56 37;autorisation obligatoire contact tel ;Lomet
;LF0369;La Tuilière;Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ;23/10/2011;17/04/2025;18/04/2025;46.532689906287835,3.1183697265785213;N 46 31 58;E 003 07 06;860 ft;"Atterrissage obligatoire en 20 face au bois, à cause du léger dénivelé et de la hauteur des arbres. 


Attention au fossé le long de la piste côté Est.





Piste situé dans le couloir LF-R144 (800-2000ft ASFC). 


Tour de piste à l'Est. PPR obligatoire.";1;herbe;'20;20;550;'02-20;herbe;;;;'Inconnue;123.500;;0;invalid;domainelatuiliere03@gmail.com;+33 6 84 844 845;"Station méteo sur place :http://www.weatherlink.com/user/tuiliere03/index.php?view=main&headers=1





PPR Obligatoire ! La piste n'est pas ouverte toute l'année. Tel au propriétaire : 06 84 844 845


Mise à jour 18 avril 2025 : la piste n'est entretenue que sur 250m. passages de sangliers fréquents..ne pas se poser sans autorisation !";Andrieu Sylvain
;LF0370;Mounier Haut;Base ULM Accès privé;04/07/2019;17/04/2023;19/04/2023;46.02721164075071,3.6685705396864705;N 46 01 38;E 003 40 07;2503 ft;"TdP à l'Est, côté éoliennes.  


AÉROLOGIE SOUVENT TRÈS MERDIQUE !


Respect du village : ils nous aiment bien !


Altisurface, pente 15% en 2ème partie de piste (montée en 36).


Pas de remise de gaz possible bien entendu. 


Parking sur le taxiway  ouest..";1;herbe;'36;15;230;'18-36;herbe;;;;'Inconnue;125.335;possible ;6,4,5;Restauration &agrave proximité, Gîte à proximité, Camping possible;claubon@orange.fr;;"Pour les amoureux de la nature, vous arrivez au paradis !


Restauration, couchage, petites réparations possibles. Vous serez très bien accueillis ... sous réserve de nous prévenir. 


Attention : nos animaux sont susceptibles d'être parfois sur la piste.. Attention aussi  aux ailes basses, il y a beaucoup de pentes. Utilisation sous votre seule et entière responsabilité. 





Nous contacter au 04 70 32 73 86, au 06 81 98 00 08 ou au 06 43 67 44 84";
;LF0371;La Bouble;Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ;28/02/2021;18/08/2025;20/08/2025;46.21867098118489,2.952356433868415;N 46 13 07;E 002 57 08;1650 ft;"Radio en Français


Tour de piste à 2100 ft 


atterrissage en 19 cause légère montée.


Il est recommandé de faire son point d'aboutissement aux deuxièmes balises soit à 40m du seuil de piste.


Décollage en 01


";1;herbe;'19;14;406;'01-19;herbe;;;;'Inconnue;125.335;;0;invalid;lrae.djm@orange.fr;+33 6 73 92 68 39;"Piste occasionnelle à usage strictement privée.


Usage restreint à quelques appareils seulement.


Utilisation interdite par vent de sud (Rouleaux), météo s'apparentant à une alti-surface.


Hélicoptères et entreprises de travaux aériens acceptées avec autorisations.


ATTENTION se trouve maintenant sous le RTBA : R144  800ft ASFC maxi en verticale piste lorsque activée.";Jean-Marc
;LF0372;Montord;Base ULM Accès privé;05/06/2024;28/08/2025;29/08/2025;46.29377092888096,3.248489398043266;N 46 17 38;E 003 14 55;919 ft;"Éviter le survol des villages et habitations à basse altitude 





(Photos prises avant le semi de l'herbe)";2;herbe;'27;30;300;'09-27;herbe;;30;150;'07-25;;;0;invalid;remi.touz@orange.fr;+33 6 74 67 47 06;"Éviter le survol :


- des villages environnants,


-des logements en bout de piste .


Attention lorsque le vent est nord (sous le vent).





Prévenir le propriétaire si vous avez besoin d’utiliser la piste


Plancher : 150m


Plafond: 2500m (TMA de Clermont)


Piste de 300 m  en 09 et en 27


Piste de 150 m en 07 et en 25


Sur place :


Balisage blanc et manche à air 


";Flychallenger
;LF0373;La Maison  Neuve;Base ULM. Usage strictement privé (pas de visiteurs).;28/09/2024;01/10/2024;04/10/2024;46.38008158500151,3.650817205843766;N 46 22 48;E 003 39 03;1000 ft;Atterrissage uniquement en 34.;1;herbe;'34;20;250;'16-34;herbe;;;;'Inconnue;;;0;invalid;gchantepie@yahoo.fr;+33 6 20 51 12 75;"Piste Privée. Pas de visiteurs.


Piste non utilisable du 1er mars au 31 mai.";Guillaume CHEVALLIER-CHANTEPIE
;LF0421;Clamensane les 3 Fontaines;AltiSurface temporairement fermée.;08/03/2011;26/03/2025;18/12/2025;44.314318784384,6.071526201036249;N 44 18 52;E 006 04 17;2933 ft;"Atterrissage en 22, décollage en 04


Piste 22 en pente montante de 13% sur les 200 premiers mètres


Les 200m restants sont quasi horizontaux


Le haut de la piste est à 2945ft. 


Attention à la vélisuface de La-Motte-du-Caire toute proche dans la vallée.";1;herbe;'22;20;400;'04-22;herbe;;;;'Inconnue;123.065;;3,4,5;Restauration sur place, Gîte à proximité, Camping possible;;;"Avions : Qualification Montagne obligatoire.


ULM : Libre d'accès.


PILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 0698282850 ou 0683512668.





PPR au propriétaire (contacter AFPM pour avoir ses coordonnées)


Conditions particulières pour les pilotes:


Accès WIFI








";
oui;LF0422;Plateau de l'Alp;Altisurface fermée;08/03/2011;06/12/2013;10/12/2013;44.350556,6.724166999999966;N 44 21 02;E 006 43 27;7150 ft;;1;neige;;;600;'12-30;;;;;;;;;;;+33 4 92 62 60 75;;
